ward_preci,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1703,5722990.46728972,6865476.635514019,8211433.891992551,10086182.495344507,14167728.119180633,13705121.04283054,13775473.09833024,13056808.905380335,12370994.475138122,11641933.70165746,11836132.596685084,12214162.062615102,12079394.495412843,12492660.550458716,12696520.146520147,13323608.058608059,17161996.336996336,18356543.04029304,20827455.21023766,29100140.950639855,30261755.191256832,33011456.442831215,38729388.68940754,38017873.166368514,32556198.56887299,29425166.01073345,29018696.24329159,29532990.518783543,31203616.815742396,31896348.658318426
1704,6728588.640275387,8083752.1514629945,9694956.970740104,11830550.774526678,16585438.898450946,16160740.103270223,16229104.991394147,14916299.483648881,16929948.364888124,16379139.414802065,16258485.370051635,16499311.531841652,16578003.442340791,16937667.238421954,17436775.300171528,18047993.138936535,21903876.500857633,23111267.12328767,25424708.90410959,33383390.410958905,34633555.55555555,37724550.427350424,42159432.64957265,40477789.4017094,36269402.222222224,32527741.53846154,31910139.487179488,32042447.17948718,32224395.726495728,33967690.5982906
1705,4405910.931174089,6742105.263157895,7807760.0,9580160.0,13042480.0,12195338.645418327,12523505.976095617,13226920.0,11744189.723320158,11343151.750972763,11708333.333333334,11851860.46511628,12035968.992248062,11751007.751937985,12060310.07751938,12802403.100775193,15321550.3875969,16626395.34883721,18027674.41860465,25717364.59143969,27347878.210116733,30186247.104247104,35284031.67938931,34831293.155893534,29017162.737642586,26888422.727272727,26735575.0,27411762.264150944,28598854.887218047,29771322.18045113
1706,7150302.197802198,8476153.846153846,10302609.89010989,12654027.397260275,18027589.04109589,17199891.008174386,17303116.531165313,15577771.739130436,15234582.210242588,14702419.35483871,14579596.774193548,15028736.559139784,15141559.139784947,16076908.602150537,16319677.41935484,17157016.129032258,21118467.741935484,22062778.76344086,24426359.408602152,32436644.29347826,33349504.891304348,36581393.548387095,44914311.29032258,43318723.65591398,37388586.82795699,33385398.924731184,33121108.333333332,33028202.419354837,32943305.107526883,33897506.720430106
1707,3428274.5098039214,5024235.294117647,5932031.25,7315117.1875,10580703.125,11366875.0,11416328.125,10708632.8125,9306692.607003892,8933735.408560311,9139610.894941634,9333618.677042801,9435719.844357977,9318949.416342413,9653968.87159533,10078482.490272373,12476770.817120623,13456381.322957199,14729143.968871595,21750314.62450593,22768891.699604742,25046566.666666668,31161012.015503876,30982155.426356588,25203726.356589146,22136375.96899225,22078215.11627907,22081602.713178296,22994013.565891474,24017051.5503876
1708,3490601.002506266,5938220.551378446,7053834.586466165,8695513.784461154,11677719.298245614,13840025.062656641,13772039.800995026,12527164.179104477,19628880.597014926,19202736.31840796,19326293.53233831,19455572.139303483,19713557.21393035,19705373.134328358,20049975.12437811,20533557.21393035,23262360.69651741,24413379.35323383,25762424.129353233,33359070.074812967,34676450.37406484,37298811.19402985,41187972.63681592,40371566.666666664,36363204.47761194,31054001.492537312,30726811.69154229,30588659.2039801,31777377.17121588,33354076.98019802
1709,8453409.090909092,9549924.242424242,11290416.666666666,14387196.969696969,20374393.939393938,19698301.88679245,19789886.79245283,17298377.358490568,16023056.603773585,15453471.698113207,15222150.943396226,15737811.320754716,16061735.849056603,16858830.188679244,17212339.62264151,18178830.188679244,21987481.20300752,23337631.57894737,25853033.707865167,33957629.21348315,35084471.91011236,38335249.81273408,45185500.74906367,44507340.823970035,39438029.58801498,35583497.37827715,35339374.531835206,35359110.48689139,35338464.79400749,36225489.51310861
1821,6608825.857519789,7883623.188405797,9171500.0,11190000.0,14834342.105263159,13229973.684210526,13334620.418848168,12173098.039215686,14981884.422110552,14586733.66834171,14533103.015075376,14367022.613065327,14444912.280701755,14701203.007518796,15203483.709273184,15797418.546365915,17936011.02756892,18613104.63659148,19606984.375,23506592.5879397,23497591.72932331,28319557.711442787,34565696.02484472,33982251.428571425,31466830.931677017,28392661.11801242,27411130.807453416,27078312.298136648,28413485.96273292,29517466.086956523
1820,8158026.674786845,10834799.025578562,12662378.6407767,15435527.272727273,20478429.951690823,21275192.307692308,21303940.11976048,19791185.628742516,18926371.25748503,18458267.62246117,18683174.224343676,19022634.088200238,19333626.634958383,18812982.24852071,19082767.962308597,19594669.811320756,23472570.42253521,24649141.079812206,26413283.939038686,32477538.94736842,32989191.49184149,35925131.242740996,42142587.67281106,41439607.347876005,39580473.279816516,36351441.46620847,35068013.51660939,36416293.70709382,37220796.71201814,38029882.446206115
1823,139265000.0,149655000.0,152128000.0,184474000.0,229069000.0,231879000.0,231879000.0,233896000.0,201456000.0,201466000.0,208727000.0,220724000.0,238384000.0,230889000.0,230975000.0,257051000.0,272960000.0,339200000.0,339334000.0,436695000.0,408532307.6923077,431225146.15384614,444122923.0769231,456073215.38461536,453768600.0,509857800.0,504771992.3076923,506965838.46153843,554138207.6923077,586284923.0769231
1822,5279961.240310078,6228525.226390686,7582010.30927835,9034939.024390243,12761189.25831202,12989795.918367347,13064579.081632653,11562308.673469387,11319093.231162196,10972260.536398467,11208122.605363986,11341826.309067689,11331763.959390864,11767779.187817259,12238705.583756344,12691814.720812183,15592576.14213198,16557991.116751269,17991343.828715365,23312070.528967254,25271634.63892289,27215996.328029376,30459234.676434677,29435973.147023086,26967557.939393938,24562650.90909091,23409784.242424242,24399168.96969697,24820025.454545453,25008215.151515152
0602,3553399.4285714286,5890457.142857143,6962942.857142857,8668342.857142856,12143571.42857143,15575042.492917847,15610338.983050847,15080790.960451977,18280141.64305949,18121331.444759205,18125070.42253521,18253211.267605633,18716478.873239435,19034338.028169014,19374845.070422534,19990816.901408453,23901437.25490196,25407622.346368715,25601473.888888888,41442804.469273746,42427197.777777776,46528084.46866485,55732226.15803815,54600853.40599455,53934894.03794038,52724117.567567565,50976885.675675675,51209728.91891892,52644458.64864865,67030182.7027027
0603,5063846.979865772,6875995.525727069,8149239.37360179,10562863.534675615,13978970.917225951,12332924.107142856,12117533.039647577,10888698.481561823,10735776.805251641,10588905.90809628,10777685.58951965,10933689.956331877,11466899.563318778,12100305.676855896,12623232.104121475,13592646.420824295,17897691.97396963,19157408.00865801,20965908.20734341,26557586.20689655,27232077.087794434,28251598.7394958,32877318.658280924,32118926.041666668,30539263.97515528,28379251.942740288,27404774.846625768,28486693.047034767,30365139.112903226,33199477.26358149
0601,59851443.021032505,84870993.89312977,94802275.0,103183215.87901701,125213666.54064272,85930849.05660377,91403646.61654136,107427424.81203008,78596765.7992565,76351276.97841726,83179100.71942446,84359040.8525755,68807826.85512367,79172688.92794377,78748774.08056042,85327513.04347827,107577972.60273972,118170261.2687813,131154776.22950819,144511147.01754385,167203160.5172414,243237754.4600939,305434839.1912908,348279118.404908,344898992.7941176,338694641.97707736,341819728.3286119,366363249.43342775,401755164.46629214,502396784.9315069
0606,8438990.147783251,11760540.54054054,13973832.923832923,16971105.65110565,23359336.60933661,20971960.784313727,20779313.725490198,18727769.60784314,22626225.49019608,22244387.25490196,23050710.784313727,23404975.49019608,24282867.647058822,25078161.76470588,25637000.0,26818365.85365854,33624146.34146342,35319568.29268292,37419982.19512195,45462119.512195125,46019334.146341465,48417724.3902439,51068189.512195125,48317104.146341465,49148670.97560976,46723627.07317073,45161190.77669903,45045283.98058253,46597359.903381646,50078634.29951691
0607,125906728.3625731,120931811.69590643,123644606.41399416,157245973.17784256,168324331.39534885,152681776.74418604,148441806.1971831,123522616.33802816,28578647.887323942,28285774.647887323,35387150.83798882,36429806.62983426,37553867.40331492,40217154.6961326,40687845.3038674,29195151.515151516,42127032.96703297,41111016.483516484,43864771.97802198,50756076.50273224,51225904.3715847,52154068.30601093,66042233.60655738,63043909.836065575,60642930.32786885,58022483.60655738,54123463.51351351,54580235.13513514,57500518.279569894,60865668.44919786
0604,12813865.336134454,17077672.955974843,19583627.40585774,22566911.924686193,29450020.920502093,28062943.63256785,27105104.166666668,23996825.72614108,21799958.41995842,21766473.02904564,23078615.70247934,24457355.371900827,24760123.456790123,27531584.362139918,27820720.164609052,29489958.847736627,36711242.653061226,37255956.504065044,38765813.590263695,44966416.90427699,46958990.040650405,50568158.0,54775401.98807157,54165404.970178925,51789739.5256917,49166451.6765286,48653811.154598825,49592889.62818004,53425094.12915851,61562649.609375
