ward_preci,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0601,1424,2506,3042,3848,5428,5454,5641,4784,4506,4400,4678,4966,5120,5792,6047,6506,8681,9760,10606,11496,12030,13060,18354,18115,17122,16512,16412,16884,18318,19765
0606,2421,4020,4920,6040,8753,8753,8753,7627,7247,7112,7517,7673,7807,8194,8510,9182,12132,13489,14851,18795,19732,20727,23240,22249,21425,20844,20838,21455,22560,24262
0607,2027,2551,3210,3950,6827,6833,6867,5753,5465,5355,5525,5854,6035,6394,6712,7130,9716,10745,11969,15920,16457,17331,20203,19569,18297,16992,17499,18265,19563,20539
0604,2202,3187,3832,4770,7675,7699,7797,6494,6085,5981,6303,6455,6672,7114,7362,7853,9881,10723,11419,15673,16110,17487,20707,19723,18849,17544,17694,18259,19278,20492
0605,1916,2796,3466,4268,6544,6579,6594,5993,5563,5267,5604,5627,6162,6474,6762,7026,10411,11438,12950,16316,16882,18297,22053,21447,19843,17585,17636,18139,19489,21059
1410,1218,1657,2105,2530,4333,4346,4351,4291,3815,3593,3601,3773,3747,3769,3923,4101,5024,5691,6522,9395,9765,10690,13234,13044,10548,9027,8958,8713,8795,9449
1411,1100,1400,1793,2229,3990,3990,3992,3663,3245,3084,3111,3205,3181,3340,3449,3562,4700,5108,5940,8028,8762,9513,11596,11528,8813,7411,7488,7279,7312,7725
1412,1079,1457,1853,2294,4054,4072,4040,3839,3655,3511,3602,3751,3886,3943,4101,4272,5562,6054,6831,9253,10421,11143,12621,12732,10204,8959,9020,8959,9123,9605
0609,2546,3061,3787,4737,6800,6800,6804,5947,5590,5462,5732,6119,6066,6735,7031,7484,10038,10901,12526,15581,15931,16897,19824,18972,18092,17818,17965,18546,20262,21517
1414,1220,1912,2280,2785,4031,4052,4076,3951,3779,3606,3459,3530,3535,3489,3629,3846,4700,5469,6423,8483,9144,10094,12846,12454,9475,8286,8276,8249,8444,8853
0112,2229,2931,3715,4489,7169,7156,7156,6114,5183,4819,5100,5192,4987,5243,5447,5760,7626,7598,8512,11170,11662,12694,15857,14757,12798,11324,11200,11531,11419,12331
0113,2391,3126,3869,4700,7216,7170,7119,6220,5363,4988,5053,5224,5074,5179,5382,5708,7557,7705,8926,11757,12500,13643,16631,15184,13233,12017,11910,12107,11982,12966
0110,1812,2553,3080,3793,5435,5414,5414,4671,3985,3779,3993,4103,4047,3913,4139,4374,6122,6786,7831,11073,12068,13028,14711,14428,11043,9948,9589,9584,9818,10705
0111,2353,2828,3572,4400,6740,6730,6730,5869,5055,4714,4771,4888,4727,4773,4984,5255,7363,7925,8930,12185,13100,14402,16792,16174,13008,11627,10941,10944,11060,11920
0114,4047,4531,5652,6552,9800,9800,9920,8365,7635,6944,7149,7194,7465,7861,8224,8347,10324,10840,11798,14886,14904,16384,21503,19677,19050,16325,16378,16439,16257,17482
0108,1684,2446,2933,3719,5624,5646,5649,4819,4092,3839,4084,4231,4070,3840,4091,4385,6161,6712,7709,11436,12275,13290,15322,15045,11203,10030,9559,9601,9623,10470
1713,2183,3174,3952,4783,6684,6703,6703,5952,5450,5373,5439,5593,5522,5757,5959,6291,7987,8481,9537,12838,13097,14393,17073,16148,14621,13566,13431,13528,14044,14327
1712,2741,3344,4115,5059,7526,7494,7466,6578,6194,5943,5862,5980,5966,6215,6539,6833,8273,8885,9977,13527,14019,15519,17990,17491,15751,13642,13206,13107,13764,14350
1711,1803,2368,2859,3660,5983,6060,5983,5596,4854,4463,4343,4473,4638,4881,4865,5135,7032,7622,8435,11397,12391,13552,15504,15360,12833,11910,11791,11635,12019,12463
1710,1393,2272,2732,3373,4699,4718,4771,4405,3869,3697,3780,3938,3949,4065,4201,4494,5951,6398,7122,10326,10972,12103,14271,14487,11338,9947,9805,9815,10055,10427
1714,2894,3815,4708,5717,8266,8266,8296,7221,6750,6583,6605,6650,6640,6924,7365,7639,9169,9811,11059,15181,15669,17202,20200,19705,17870,16744,16578,16522,16572,16760
2109,3477,4671,5501,6563,9385,9044,9065,7629,6740,6620,7073,7181,7695,8040,8558,9155,12491,13098,14886,18371,19444,20218,20697,19972,18745,18082,17903,17995,19464,20145
